trayID,species,spID,I,n,trayID_consec,day,planter,plate,domeID,side,x,x1,y,temp_PM,temp_AM,richness,SD,shannon,n_allP,n_allP.na,I_all,n_radish,n_arugula,n_basil,n_red_rom,n_green_rom,n_butter,I_radish,I_arugula,I_basil,I_red_rom,I_green_rom,I_butter,notes,n_others,n_others2,temp_PM_z,richness_z,n_others_z,n_others2_z,n_allP.na_z,n_radish_zsq,n_arugula_zsq,n_basil_zsq,n_red_rom_zsq,n_green_rom_zsq,n_butter_zsq,n_radish_p,n_arugula_p,n_basil_p,n_red_rom_p,n_green_rom_p,n_butter_p
46,radish,1,16,81,43,1,KF,2,88,L,7,7,10,22.2,24.4,2,0.5,0.6809538397553379,154,151,40,88,63,0,0,0,0,22,18,0,0,0,0,A TOOTHPICK MISSING,63,0,-0.961223070638104,-0.2675041779803306,-0.5247721266463446,-0.6127213033294283,-0.5440597209390599,0.28900269023020514,0.32786927026089135,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5827814569536424,0.41721854304635764,0,0,0,0
47,arugula,2,42,60,44,2,KF,4,79,R,7,7.3,9,23.1,23.7,2,0.5,0.6809538397553379,154,153,114,88,65,0,0,0,0,67,47,0,0,0,0,NA,65,0,-0.6912244749615124,-0.2675041779803306,-0.5126012282798013,-0.6127213033294283,-0.5272983098444596,0.28900269023020514,0.34264405992964747,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5751633986928104,0.42483660130718953,0,0,0,0
47,radish,1,60,81,44,2,KF,4,79,R,7,7.3,9,23.1,23.7,2,0.5,0.6809538397553379,154,153,114,88,65,0,0,0,0,67,47,0,0,0,0,NA,65,0,-0.6912244749615124,-0.2675041779803306,-0.5126012282798013,-0.6127213033294283,-0.5272983098444596,0.28900269023020514,0.34264405992964747,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5751633986928104,0.42483660130718953,0,0,0,0
48,arugula,2,52,58,45,3,CE,7,77,R,5,5.3,9,23.9,23.9,2,0.5,0.6809538397553379,154,153,134,89,64,0,0,0,0,76,58,0,0,0,0,NA,64,0,-0.4512257232489879,-0.2675041779803306,-0.518686677463073,-0.6127213033294283,-0.5272983098444596,0.29446255166301355,0.33528552342745815,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5816993464052288,0.41830065359477125,0,0,0,0
48,radish,1,70,83,45,3,CE,7,77,R,5,5.3,9,23.9,23.9,2,0.5,0.6809538397553379,154,153,134,89,64,0,0,0,0,76,58,0,0,0,0,NA,64,0,-0.4512257232489879,-0.2675041779803306,-0.518686677463073,-0.6127213033294283,-0.5272983098444596,0.29446255166301355,0.33528552342745815,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5816993464052288,0.41830065359477125,0,0,0,0
49,arugula,2,17,59,46,1,KF,3,7,R,7,7.3,1,27,24.3,2,0.5,0.6809538397553379,154,154,60,89,65,0,0,0,0,37,23,0,0,0,0,NA,65,0,0.4787694396370481,-0.2675041779803306,-0.5126012282798013,-0.6127213033294283,-0.5189176042971594,0.29446255166301355,0.34264405992964747,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.577922077922078,0.42207792207792205,0,0,0,0
49,radish,1,31,83,46,1,KF,3,7,R,7,7.3,1,27,24.3,2,0.5,0.6809538397553379,154,154,60,89,65,0,0,0,0,37,23,0,0,0,0,NA,65,0,0.4787694396370481,-0.2675041779803306,-0.5126012282798013,-0.6127213033294283,-0.5189176042971594,0.29446255166301355,0.34264405992964747,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.577922077922078,0.42207792207792205,0,0,0,0
50,arugula,2,43,57,47,2,KF,4,76,R,4,4.3,9,23.9,24.3,2,0.5,0.6809538397553379,154,147,114,85,62,0,0,0,0,67,47,0,0,0,0,NA,62,0,-0.4512257232489879,-0.2675041779803306,-0.5308575758296163,-0.6127213033294283,-0.5775825431282606,0.27243427192136377,0.3203939206404983,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5782312925170068,0.4217687074829932,0,0,0,0
50,radish,1,60,78,47,2,KF,4,76,R,4,4.3,9,23.9,24.3,2,0.5,0.6809538397553379,154,147,114,85,62,0,0,0,0,67,47,0,0,0,0,NA,62,0,-0.4512257232489879,-0.2675041779803306,-0.5308575758296163,-0.6127213033294283,-0.5775825431282606,0.27243427192136377,0.3203939206404983,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5782312925170068,0.4217687074829932,0,0,0,0
51,arugula,2,6,58,48,3,CE,9,39,R,3,3.3,5,26.7,23.9,2,0.5,0.6809538397553379,154,153,35,89,64,0,0,0,0,23,12,0,0,0,0,NA,64,0,0.38876990774485093,-0.2675041779803306,-0.518686677463073,-0.6127213033294283,-0.5272983098444596,0.29446255166301355,0.33528552342745815,-0.42973116344007867,-0.4147720410624205,-0.3561175935032453,-0.34295888379045403,0.5816993464052288,0.41830065359477125,0,0,0,0
